Presa;Demarcación;Cauce;Fase;Titular;Provincia
LEBRIJA;GUADALQUIVIR;;Explotación;CONFEDERACION HIDROGRAFICA DEL GUADALQUIVIR;Sevilla
LEBRIJA;GUADALQUIVIR;;Explotación;CONFEDERACION HIDROGRAFICA DEL GUADALQUIVIR;Sevilla
LEBRIJA Sevilla;GUADALQUIVIR;;Explotación;CONFEDERACION HIDROGRAFICA DEL GUADALQUIVIR;
LECHUCILLA;GRAN CANARIA;BARRANCO DE LA HIGUERA;Explotación;AYUNTAMIENTO DE LAS PALMAS;Palmas, Las
LEIVA;EBRO;RÍO TIRÓN;Explotación;GOBIERNO DE LA RIOJA;Rioja, La
LEKUBASO;CANTABRICO ORIENTAL;LEKUBASOKO ERREKA;Explotación;AYUNTAMIENTO DE GALDACANO;Bizkaia
LERTUETXE;CANTABRICO ORIENTAL;ARROYO LERTUETXE;Explotación;AYUNTAMIENTO DE LEJONA;Bizkaia
LEURTZA INFERIOR;CANTABRICO ORIENTAL;REGATA DE LEURZA;Explotación;IBERDROLA ENERGÍAS RENOVABLES, S.A. (IBERRENOVA);Navarra
LEURTZA SUPERIOR;CANTABRICO ORIENTAL;REGATA DE LEURZA;Explotación;IBERDROLA ENERGÍAS RENOVABLES, S.A. (IBERRENOVA);Navarra
LEZCANO I;GRAN CANARIA;BARRANCO LEZCANO;Explotación;COMUNIDAD DE REGANTES DE TENOYA;Palmas, Las
LEZCANO II;GRAN CANARIA;BARRANCO LEZCANO;Explotación;COMUNIDAD DE REGANTES DE TENOYA;Palmas, Las
LIMONERO, EL;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO GUADALMEDINA;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
LINARES DEL ARROYO;DUERO;RÍO RIAZA;Explotación;ESTADO;Segovia
LINARES DE RIOFRIO;TAJO;ARROYO RIOFRÍO;Explotación;AYUNTAMIENTO DE LINARES RIOFRÍO;Salamanca
LINSOLES;EBRO;RÍO ÉSERA;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
LLAC DE LA MOLINA;EBRO;;Explotación;FERROCARRILS DE LA GENERALITAT DE CATALUNYA;Girona
LLACS;EBRO;BARRANC DE LLACS;Explotación;ENDESA GENERACION S.A.;Lleida
LLADRES;EBRO;RIU DE PEGUERA;Explotación;PARTICULAR;Lleida
LLANERA DE RANES;JUCAR;;Explotación;AGUAS DE LAS CUENCAS MEDITERRANEAS, S.A. (ACUAMED, S.A.);Valencia/Valéncia
LLANO DE LA LECHE;CUENCAS MEDITERRANEAS ANDALUZAS;ARROYO DEL LLANO DE LA LECHE;Explotación;COMUNIDAD DE REGANTES DE SAN PEDRO DE ALCANTARA;Málaga
LLANO DE LA VILLA;LA GOMERA;BARRANCO DE LA VILLA;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
LLANO DE MONTCASAU;EBRO;ARRIU LLANO MONCASAU;Explotación;ENDESA GENERACION S.A.;Lleida
LLANOS DE MESA;TENERIFE;;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
LLAUSET;EBRO;RÍO LLAUSET;Explotación;ENDESA GENERACION S.A.;Huesca
LLEIDA;EBRO;RIU SEGRE;Explotación;ENDESA GENERACION S.A.;Lleida
LLERENA;GUADIANA;ARROYO DEL CONEJO;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Badajoz
LLODIO;CANTABRICO ORIENTAL;OLARTE ERREKA;Explotación;AYUNTAMIENTO DE LLODIO;Araba/Álava
LLOSA DEL CAVALL, LA;CUENCAS INTERNAS DE CATALUÑA;RIU CARDENER;Explotación;GENERALITAT DE CATALUÑA;Lleida
LLUSA;CUENCAS INTERNAS DE CATALUÑA;RIERA DE LLUÇANÈS;Explotación;GENERALITAT DE CATALUÑA;Barcelona
LOBATON;GUADALETE Y BARBATE;ARROYO DE LA ALCARÍA;Explotación;AGROPECUARIA LA ALCARIA S.L.;Cádiz
LOBO;GUADIANA;ARROYO DEL LOBO;Explotación;ANTONIO LUIS RUIZ MUÑOZ Y HERMANOS;Córdoba
LOMA DEL CABALLO, LA;GUADALETE Y BARBATE;ARROYO DE NAVAFRÍA;Explotación;METALCOVER, S.A.;Cádiz
LOMILLA DE AGUILAR;DUERO;RÍO RITOBAS;Explotación;COMUNIDAD DE REGANTES DE LA PRESA DE LOMILLA;Palencia
LOMO, EL;TAJO;;Explotación;SEIASA;Cáceres
LOPE GARCIA;GUADALQUIVIR;RÍO GUADALQUIVIR;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Córdoba
LOPETEGUI;CANTABRICO ORIENTAL;ITURRI ERREKA;Explotación;ESTADO;Gipuzkoa
LORCA;SEGURA;;Explotación;ESTADO;Murcia
LORCA;SEGURA;;Explotación;ESTADO;Murcia
LORIGUILLA;JUCAR;RIO TURIA O GUADALAVIAR;Explotación;ESTADO;Valencia/Valéncia
LUGAREJOS;GRAN CANARIA;BARRANCO DE LA CORUÑA;Explotación;COMUNIDAD DE REGANTES DE NORTE;Palmas, Las
LUGAR NUEVO;TAJO;ARROYO DE LA RETAMA;Explotación;FINCA LUGAR NUEVO;Cáceres
MACHOS, LOS;TINTO, ODIEL Y PIEDRAS;RÍO PIEDRAS;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Huelva
MACHUCAS, LAS;TAJO;ARROYO DE LAS MACHUCAS;Explotación;ANTONIO HERRERA MADARIAGA;Cáceres
MACIÑEIRA;GALICIA-COSTA;VERTIENTE POR LA MARGEN IZQUIERDA DEL RIO MACIÑEIRA;Explotación;ENDESA GENERACION S.A.;Coruña, A
MACIÑEIRA;GALICIA-COSTA;VERTIENTE POR LA MARGEN IZQUIERDA DEL RIO MACIÑEIRA;Explotación;ENDESA GENERACION S.A.;Coruña, A
MADRIGUERA, LA;JUCAR;;Explotación;CDAD. DE REGANTES PRINCIPE DE ESPAÑA;Albacete
MADROÑERAS;TAJO;ARROYO DEL AGUIJAL;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
MADROÑERAS;TAJO;ARROYO DEL AGUIJAL;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
MADROÑERAS II;TAJO;REGATO DEL PUEBLO;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
MAIDEVERA;EBRO;RÍO ARANDA;Explotación;ESTADO;Zaragoza
MAIDEVERA;EBRO;RÍO ARANDA;Explotación;ESTADO;Zaragoza
MAIDEVERA;EBRO;RÍO ARANDA;Explotación;ESTADO;Zaragoza
MAIRAGA;EBRO;ARROYO DE MAIRAGA;Explotación;ESTADO;Navarra
MAJADILLAS, LAS;TAJO;ARROYO DE LAS VEGUILLAS;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
MAJALAHONDA;TAJO;ARROYO DE MAJALAHONDA;Explotación;TUVALU GESTION S.L.;Ávila
MAJOLETO;GUADALQUIVIR;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO CAMINO DE LAS YEGUAS;Explotación;MAJOLETO, S.A.;Sevilla
MALA, LA;LANZAROTE;BARRANCO VALLE DEL PALOMO;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Palmas, Las
MALICIOSA, LA;TAJO;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO PEÑA JARDERA Y LA GARGANTILLA;Explotación;AYUNTAMIENTO DE BECERRIL DE LA SIERRA;Madrid
MALPARTIDA DE PLASENCIA;TAJO;ARROYO DE LOS PILONES;Explotación;AYUNTAMIENTO DE MALPARTIDA;Cáceres
MALPARTIDA DE PLASENCIA II;TAJO;ARROYO DE CALZONES;Explotación;AYUNTAMIENTO DE MALPARTIDA;Cáceres
MALPARTIDA DE PLASENCIA III;TAJO;ARROYO DE CALZONES;Explotación;AYUNTAMIENTO DE MALPARTIDA;Cáceres
MALPASILLO JAUJA;GUADALQUIVIR;RÍO GENIL;Explotación;ENDESA GENERACION S.A.;Córdoba
MALVECINO;EBRO;BARRANCO DE ONZANOVA;Explotación;Aguas de las Cuencas de España, S.A.;Zaragoza
MANSILLA;EBRO;RIO NAJERILLA;Explotación;ESTADO;Rioja, La
MANSILLA;EBRO;RIO NAJERILLA;Explotación;ESTADO;Rioja, La
MANUEL LORENZO PARDO;EBRO;RÍO EBRO;Explotación;AYUNTAMIENTO DE ZARAGOZA;Zaragoza
MANUFACTURAS BEJAR;TAJO;RÍO DE RÍOFRIO;Explotación;MANUFACTURAS S.A.;Salamanca
MANZANARES EL REAL;TAJO;RÍO MANZANARES;Explotación;CANAL DE ISABEL II;Madrid
MARBORE;EBRO;;Explotación;ACCIONA ENERGÍA, S.A.;Huesca
MARCHANTE, EL;GUADALQUIVIR;;Explotación;PAYMOGO, S.A.;Sevilla
MAR DE LA GRANJA, EL;DUERO;ARROYO DEL MORETE;Explotación;ESTADO;Segovia
MAR DE ONTIGOLA;TAJO;ARROYO DE LOS YESARES U ONTÍGOLA;Explotación;AYUNTAMIENTO ARANJUEZ;Madrid
MARGA, LA;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE VIRGEN DE LA PAZ DE AGOST;Alicante/Alacant
MARGALEF;EBRO;RIU DE MONTSANT;Explotación;GENERALITAT DE CATALUÑA;Tarragona
MARIA CRISTINA;JUCAR;RAMBLA DE LA VIUDA;Explotación;ESTADO;Castellón/Castelló
MARIDIAZ;GUADIANA;RIO GUADIANA;Explotación;MINICENTRALES EXTREMEÑAS, S.A.;Badajoz
MARIOLO;EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
MARISANCHEZ;GUADIANA;RIO JABALON;Explotación;ESTADO;Ciudad Real
MARISMILLA;TINTO, ODIEL Y PIEDRAS;RÍO TINTO;Explotación;MINAS RIOTINTO;Huelva
MAR (LAGO);EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
MAR (LAGO);EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
MAR (LAGO);EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
MAR (LAGO);EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
MAR (LAGO);EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
MARMOLEJO;GUADALQUIVIR;RÍO GUADALQUIVIR;Explotación;ENDESA GENERACIÓN, S.A.- U.P.H. SUR;Jaén
MAROÑO;CANTABRICO ORIENTAL;RÍO IZORÍA;Explotación;CONSORCIO DE AGUAS DE AYALA;Araba/Álava
MARQUESA, LA;JUCAR;RÍO JÚCAR;Explotación;ESTADO;Valencia/Valéncia
MARTINETE;DUERO;RÍO ERESMA;Explotación;EL SALTO DE MARTINETE, S.L- CIF 40158370;Segovia
MARTIN GONZALO II;GUADALQUIVIR;ARROYO DE MARTÍN GONZALO - CORDOBA;Explotación;ESTADO;Córdoba
MARTIRES, LOS;EBRO;RÍO EBRO;Explotación;ESTADO;Navarra
MASCALINAS;TAJO;ARROYO DE LA GIRONDA;Explotación;MARIA DEL CARMEN BLAZQUEZ ORTIZ;Cáceres
MASIDE, LA;TAJO;ARROYO DE HORNACINAS;Explotación;FUNDACION MASIDE;Cáceres
MATA DE ALCANTARA II;TAJO;ARROYO CORREDOR;Explotación;ESTADO;Cáceres
MATA DEL HERRADOR 2;GUADALQUIVIR;;Explotación;U.P.M., S.L.;Sevilla
MATALAVILLA;MIÑO-SIL;ARROYO DE VALSECO;Explotación;ENDESA GENERACION S.A.;León
MATALAVILLA;MIÑO-SIL;ARROYO MATALAVILLA O EL REGATO;Explotación;ENDESA GENERACION S.A.;León
MATALLANA;TAJO;BARRANCO HONDO;Explotación;ESTADO;Guadalajara
MATALOBOS;DUERO;;Explotación;ESTADO;León
MATAVACAS;GUADIANA;RIVERA DE LA HIGUERA;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Huelva
MAYES;SEGURA;RAMBLA DE MAYES;Explotación;ESTADO;Murcia
MAZORCAN;GUADALETE Y BARBATE;ARROYO DE TORRES;Explotación;ENRIQUE DEL PINO BOHORQUEZ;Cádiz
ALSA-MEDIAJO;CANTABRICO OCCIDENTAL;;Explotación;E.ON GENERACION;Cantabria
MEDIANO;EBRO;RÍO CINCA;Explotación;ESTADO;Huesca
MEDRANAS, LAS;CUENCAS MEDITERRANEAS ANDALUZAS;ARROYO DEL CHOPO;Explotación;COMUNIDAD DE REGANTES DE SAN PEDRO DE ALCANTARA;Málaga
MEICENDE;GALICIA-COSTA;ARROYO DE PASTORIZA;Explotación;INESPAL METAL;Coruña, A
MELLIZAS, LAS;GUADIANA;ARROYO GRANDE;Explotación;JOSÉ SOLER MARTÍNEZ;Huelva
MEMBRILLOS, LOS;GUADALQUIVIR;ARROYO DE LAS CRUCES - CORDOBA;Explotación;COMPAÑIA MINAS GLORIA S.A.;Córdoba
MEMBRIO;TAJO;ARROYO DEL REDITO;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
MEMBRIO;TAJO;SIN NOMBRE;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
MEMBRIO;TAJO;RIVERA DE ZAMÓRES MEMBRÍO;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
MENDAUR;CANTABRICO ORIENTAL;RÍO ARMAURI;Explotación;CENTRAL Y COGENERACION ITUREN;Navarra
MENDAUR;CANTABRICO ORIENTAL;RÍO ARMAURI;Explotación;CENTRAL Y COGENERACION ITUREN;Navarra
MENDOZA;GUADIANA;RIO GUADALMEZ;Explotación;Mª LUISA MENDOZA VALDIVIA;Ciudad Real
MENGIBAR;GUADALQUIVIR;RÍO GUADALQUIVIR;Explotación;ENDESA GENERACIÓN, S.A.- U.P.H. SUR;Jaén
MENJU;SEGURA;RIO SEGURA;Explotación;ESTADO;Murcia
MENUZA;EBRO;RÍO EBRO;Explotación;ELECTRO-METALURGICA DEL EBRO;Zaragoza
MEQUINENZA;EBRO;RÍO EBRO;Explotación;ENDESA GENERACION S.A.;Zaragoza
MERCA;MIÑO-SIL;RÍO ARNOIA;Explotación;HIDROELECTRICA DE A MERCA, S.L.;Ourense
MERCEDES, LA;GUADALQUIVIR;;Explotación;ALCARAN 2005, S.L.;Sevilla
MERCED, LA;GUADALETE Y BARBATE;ARROYO MALITE;Explotación;EXPLOTACIONES AGRÍCOLAS ANDALUZAS, S.A. (EXPASA);Cádiz
MERICANA, LA;TAJO;ARROYO DE LA MARICANA;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
MERINAS, LAS;GUADALQUIVIR;ARROYO DE MASEGOSO;Explotación;CENTRO AGRICOLA LAS MERINAS S.L.;Sevilla
MESAS DE LA ZARZUELA, LAS;GUADIANA;ARROYO FRÍO;Explotación;EDUARDO RAMOS FERNÁNDEZ DE SORIA;Badajoz
MESAS, LAS;GUADALQUIVIR;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO SALADO DE LOS VILLARES;Explotación;Mª JOSE CONTRERAS GOMEZ DE LAS CORTINAS;Jaén
MEZALOCHA;EBRO;RÍO HUERVA;Explotación;SINDICATO CENTRAL DE RIEGOS RIO HUERVA Y PANTANO MEZALOCHA;Zaragoza
MEZQUETILLAS;GUADALQUIVIR;ARROYO DE MAHOMA;Explotación;ESPEJO Y OBRERO S.L.;Córdoba
MILAGRO, EL;DUERO;RÍO ALMAR;Explotación;ESTADO;Ávila
MILLARES ALTO;EBRO;VERTIENTE POR LA MARGEN IZQUIERDA DEL BARRANCO DE LA RIBERETA;Explotación;ENDESA GENERACION S.A.;Huesca
MILLARES BAJO;EBRO;VERTIENTE POR LA MARGEN IZQUIERDA DEL BARRANCO DE LA RIBERETA;Explotación;ENDESA GENERACION S.A.;Huesca
MINAS HERRERIAS 1;GUADIANA;;Explotación;MINAS HERRERIAS S.A.;Huelva
MINAS HERRERIAS 2;GUADIANA;;Explotación;MINAS HERRERIAS S.A.;Huelva
MINAS HERRERIAS 3;GUADIANA;BARRANCO DEL CHORRITO;Explotación;MINAS HERRERIAS S.A.;Huelva
MINCHONES;TAJO;GARGANTA DE MINCHONES;Explotación;COMUNIDAD DE REGANTES DE MINCHONES;Cáceres
MINERA SANTA MARTA;EBRO;;Explotación;MINERA SANTA MARTA, S.A.;Burgos
MINICENTRAL ARANDA I Y II;DUERO;RÍO DUERO;Explotación;REDONDO HERMANOS S.L.;Burgos
MINICENTRAL EL PONTON;DUERO;RÍO ÁGUEDA;Explotación;CASTELLANA DE ENERGIA RENOVABLE S.L.;Salamanca
MINILLA, LA;GUADALQUIVIR;RIVERA DE HUELVA;Explotación;EMASESA;Sevilla
MIRAFLORES DE LA SIERRA;TAJO;RÍO GUADALIX;Explotación;AYUNTAMIENTO DE MIRAFLORES DE LA SIERRA;Madrid
MISERICORDIA, LA;GUADALETE Y BARBATE;;Explotación;SEIASA;Cádiz
MOGENTE;JUCAR;;Explotación;AGUAS DE LAS CUENCAS MEDITERRANEAS, S.A. (ACUAMED, S.A.);Valencia/Valéncia
MOHARRA, LA;GUADALQUIVIR;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO DE LOS GRANEROS;Explotación;MARIA DOLORES PEINADO GARCIA;Sevilla
MOHEDA ALTA;GUADIANA;;Explotación;CASAS DE HITOS S.A.;Badajoz
MOHEDA, LA;GUADIANA;ARROYO DE ESTEPA;Explotación;ANTONIO LUIS LÓPEZ MONTENEGRO;Cáceres
MOHEDAS DE LA JARA;TAJO;ARROYO DEL SAUCERAL;Explotación;DESCONOCIDO;Toledo
MOLA, LA;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE NOVELDA;Alicante/Alacant
MOLI DEL FOCH;CUENCAS INTERNAS DE CATALUÑA;RIU CARDENER;Explotación;GENERALITAT DE CATALUÑA;Lleida
MOLINAR, EL;JUCAR;RÍO JÚCAR;Explotación;IBERDROLA GENERACION S.A.;Albacete
MOLINETA, LA;EBRO;;Explotación;CDAD. DE REGANTES DEL RIO ALHAMA;Rioja, La
MOLINO DE ANDRES;DUERO;RÍO ÁGUEDA;Explotación;CASTELLANA DE ENERGIA RENOVABLE S.L.;Salamanca
MOLINO DE ARRIBA;TAJO;RÍO TAJO;Explotación;ENEL UNION FENOSA RENOVABLES, S.A.;Cuenca
MOLINO DE CABRA;TAJO;ARROYO DEL PILÓN;Explotación;E. Y F. CID MORENO;Cáceres
MOLINO DE CHINCHA;TAJO;RÍO GUADIELA;Explotación;NAVARRO GENERACIÓN S.A.;Cuenca
MOLINO DE GUADALEN;GUADALQUIVIR;RÍO GUADALÉN;Explotación;ESTADO;Jaén
MOLINO DE LA HOZ;TAJO;RÍO GUADARRAMA;Explotación;ASOCIACION DE PROPIETARIOS DE MOLINO DE LA HOZ;Madrid
MOLINO DEL ARCO;DUERO;RÍO ERESMA;Explotación;BEAM GLOBAL ESPAÑA S. L.;Segovia
MOLINO DE MAARTEL;GUADIANA;RIO GUADIANA;Explotación;PARTICULAR;Badajoz
MOLINO, EL;EBRO;;Explotación;COMUNIDAD DE REGANTES DE SANTA LUCIA;Araba/Álava
MOLINO RODERO;DUERO;RÍO PIRÓN;Explotación;AYUNTAMIENTO DE ISCAR;Valladolid
MOLINO SANTA ANA;GUADALQUIVIR;;Explotación;LAURA ABAD RIOS;Sevilla
MOLINOS DE CASTILLA;DUERO;RÍO DUERO;Explotación;HIDRENER, S.A.;Valladolid
MOLINOS DE MATACHEL, LOS;GUADIANA;RIO MATACHEL;Explotación;ESTADO;Badajoz
MOLINOS, LOS;GUADIANA;RIO VALDEHORNOS;Explotación;AYT. DE ARROBA DE LOS MONTES Y NAVALPINO;Ciudad Real
MOLINOS, LOS;FUERTEVENTURA;BARRANCO DE LOS MOLINOS;Explotación;PATRONATO LOS MOLINOS;Palmas, Las
MOLINOS, LOS Madrid;TAJO;ARROYO DE LOS IRRIOS;Explotación;PARTICULAR;
MONASTERIO;DUERO;RÍO DUERO;Explotación;IBERICA DE ENERGIAS, S.L.;Valladolid
MONDRAGONES;GRAN CANARIA;BARRANCO DEL BREZAL;Explotación;HDOS. JOSE SUAREZ;Palmas, Las
MONEVA;EBRO;RÍO AGUASVIVAS;Explotación;ESTADO;Zaragoza
MONFORTE DEL CID;JUCAR;;Explotación;S.A.T. 2.336 DE MONFORTE DEL CID;Alicante/Alacant
MONFORTE DEL CID;JUCAR;;Explotación;SEIASA;Alicante/Alacant
MONREAL;EBRO;RÍO UNCITI;Explotación;CANAL DE NAVARRA;Navarra
MONTA, LA;GRAN CANARIA;BARRANCO DE LA MONTA BERRIEL;Explotación;A. DEL CASTILLO;Palmas, Las
MONTALAR;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE VAL DE UXÓ;Castellón/Castelló
MONTALTO;EBRO;RIU DE LLADORRE;Explotación;ENDESA GENERACION S.A.;Lleida
MONTAÑA DE TACO;TENERIFE;;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
MONTEAGUDO 1;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE MONTEAGUDO;Alicante/Alacant
MONTEAGUDO 2;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE MONTEAGUDO;Alicante/Alacant
MONTEAGUDO DE LAS VICARIAS;EBRO;VERTIENTE POR LA MARGEN DERECHA DEL RÍO NAJIMA;Explotación;ESTADO;Soria
MONTEAGUDO DE LAS VICARIAS Soria;EBRO;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO DEL REGAJO;Explotación;ESTADO;
MONTEAGUDO DE LAS VICARIAS Soria;EBRO;VERTIENTE POR LA MARGEN DERECHA DEL RÍO NAJIMA;Explotación;ESTADO;
MONTEAGUDO DE LAS VICARIAS Soria;EBRO;VERTIENTE POR LA MARGEN DERECHA DEL RÍO NAJIMA;Explotación;ESTADO;
MONTEARENAS;MIÑO-SIL;RÍO BOEZA;Explotación;ENDESA GENERACION S.A.;León
MONTECARMONA;TINTO, ODIEL Y PIEDRAS;ARROYO DEL TORVISCO;Explotación;C. HURTADO;Huelva
MONTECILLO;TAJO;RÍO TAJO;Explotación;APROVECHAMIENTO HIDROELECTRICO, S.A;Toledo
MONTECILLO, EL;GUADALQUIVIR;ARROYO DE MONTECILLO;Explotación;PARTICULAR;Sevilla
MONTE DE LA TORRE;CUENCAS MEDITERRANEAS ANDALUZAS;ARROYO DEL PRIOR;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
MONTE FELIX;TINTO, ODIEL Y PIEDRAS;RÍO PIZARRAL;Explotación;ASTURIANA DE ZINC, S.A.;Huelva
MONTEFURADO;MIÑO-SIL;RÍO BIBEI;Explotación;IBERDROLA GENERACION S.A.;Lugo
MONTEHERMOSO;TAJO;ARROYO DEL PEZ;Explotación;AYUNTAMIENTO DE MONTEHERMOSO;Cáceres
MONTEJAQUE;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO O ARROYO DE CAMPOBUCHES O GUADARÉS;Explotación;ENDESA GENERACION S.A.;Málaga
MONTE SASO;EBRO;;Explotación;SEIASA;Zaragoza
MONTIJO;GUADIANA;RIO GUADIANA;Explotación;ESTADO;Badajoz
MONTLER DE SASTAGO;EBRO;RÍO EBRO;Explotación;ELECTRO-METALURGICA DEL EBRO;Zaragoza
MONTORO II;GUADALQUIVIR;RÍO MONTORO;Explotación;REPSOL PETROLEO S.A.;Ciudad Real
MONTORO III;GUADALQUIVIR;RÍO MONTORO;Explotación;Aguas de las Cuencas de España, S.A.;Ciudad Real
MORALES, LOS;TAJO;ARROYO LA AVELLANEDA;Explotación;ESTADO;Madrid
MORALET;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE ALICANTE-NORTE;Alicante/Alacant
MORANTES, LOS;GUADIANA;REGATO DE LA MATONA O DE LOS CHOPOS;Explotación;MORANTES S.A;Badajoz
MORATALLA;SEGURA;RIO MORATALLA O ALHÁRABE;Explotación;ESTADO;Murcia
MORERA;EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
MORGEMUT;EBRO;VALL DE BURGEBUT;Explotación;ENDESA GENERACION S.A.;Lleida
MORO, RAMBLA DEL;SEGURA;RAMBLA DEL MORO;Explotación;ESTADO;Murcia
MOROS;EBRO;VALLE DE MOROS;Explotación;ENDESA GENERACION S.A.;Lleida
MOROS;EBRO;ANTIGUO CAUCE DEL RÍO GUADALOPE;Explotación;ENDESA GENERACION S.A.;Zaragoza
MORRON, EL;SEGURA;RAMBLA DE LA HOYA DE LA MUELA O RAMBLA DE LAS RUBIALIZAS;Explotación;ESTADO;Murcia
MORRON EMBALSE, EL;JUCAR;;Explotación;COMUNIDAD GENERAL DE USUARIOS ALTO VINALOPÓ;Alicante/Alacant
MORTERA, LA;CANTABRICO OCCIDENTAL;RÍO DE CAMPO O REGUERO OLLA;Explotación;ESTADO;Asturias
MORTEROS;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE VIRGEN DE LAS NIEVES;Alicante/Alacant
MOSQUIL, EL;GUADIANA;ARROYO DE LOS LABRADOS;Explotación;RAMONA ROMERO CAMARA;Badajoz
MOURELA;MIÑO-SIL;REGUEIRO DA MOURELA;Explotación;IBERDROLA GENERACION S.A.;Ourense
MUELA;SEGURA;SIN NOMBRE;Explotación;ESTADO;Murcia
LA MUELA;JUCAR;;Explotación;IBERDROLA GENERACION S.A.;Valencia/Valéncia
MULAGUA;LA GOMERA;BARRANCO DE MONTEFORTE;Explotación;COMUNIDAD DE REGANTES DE VALLE HERMIGUA;Santa Cruz de Tenerife
MULATO;GRAN CANARIA;BARRANCO DE MOGÁN;Explotación;COMUNIDAD DE REGANTES DE SAN ANTONIO;Palmas, Las
MUTILOA;CANTABRICO ORIENTAL;GESALTXO ERREKA;Explotación;GOBIERNO VASCO;Gipuzkoa
NARANJERO, EL;JUCAR;RÍO JÚCAR;Explotación;IBERDROLA GENERACION S.A.;Valencia/Valéncia
NAVACEPEDA DE TORMES;DUERO;ARROYO DEL SAUCAL O ARROYO CABEZA DE LA CIERVA;Explotación;AYUNTAMIENTO DE SAN JUAN DE GREDOS;Ávila
NAVACERRADA;TAJO;RÍO NAVACERRADA;Explotación;CANAL DE ISABEL II;Madrid
NAVA DE AREVALO;DUERO;;Explotación;ACUANORTE;Ávila
NAVA DE AREVALO;DUERO;;Explotación;Aguas de las Cuencas de España, S.A.;Ávila
NAVA, LA;GUADALQUIVIR;ARROYO DE LA NAVA - JAEN III;Explotación;COMUNIDAD DE REGANTES DE BEAS DE SEGURA;Jaén
NAVALAGAMELLA;TAJO;ARROYO DEL CURA;Explotación;A. RODRIGUEZ DOCAMPO;Madrid
