,fecha,comunidad_autonoma,tmed,tmax,velmedia,sol,generation,inst_Solar_térmica
527,2015-01-30,CASTILLA-LA MANCHA,11.384,13.606,7.999,2.0,22.83,349.4
528,2015-01-30,CATALUNA,8.975,13.038,3.777,1.0,0.846,24.29
531,2015-01-30,COMUNITAT VALENCIANA,15.783,19.311,6.483,3.0,3.664,49.9
532,2015-01-30,EXTREMADURA,12.802,14.658,8.192,1.0,47.35,849.0
539,2015-01-30,REGION DE MURCIA,17.53,22.75,6.944,4.0,1.268,31.4
540,2015-01-31,ANDALUCIA,10.685,14.848,7.266,3.0,1119.41,1000.02
545,2015-01-31,CASTILLA-LA MANCHA,6.119,10.831,6.147,3.0,394.227,349.4
546,2015-01-31,CATALUNA,6.367,10.802,4.44,3.0,14.601,24.29
549,2015-01-31,COMUNITAT VALENCIANA,11.183,15.745,5.914,4.0,63.271,49.9
550,2015-01-31,EXTREMADURA,8.162,12.865,7.216,3.0,817.656,849.0
557,2015-01-31,REGION DE MURCIA,13.85,19.99,6.678,3.0,21.902,31.4
558,2015-02-01,ANDALUCIA,7.355,11.629,3.03,5.0,3862.171,1000.02
563,2015-02-01,CASTILLA-LA MANCHA,3.367,7.212,4.402,3.0,1519.192,349.4
564,2015-02-01,CATALUNA,4.404,8.215,5.377,4.0,299.559,24.29
567,2015-02-01,COMUNITAT VALENCIANA,8.557,11.705,6.472,4.0,181.875,49.9
568,2015-02-01,EXTREMADURA,6.085,11.005,4.216,4.0,4803.642,849.0
575,2015-02-01,REGION DE MURCIA,8.92,13.16,4.911,4.0,42.794,31.4
576,2015-02-02,ANDALUCIA,6.845,11.125,3.64,2.0,360.615,1000.02
581,2015-02-02,CASTILLA-LA MANCHA,3.263,5.793,3.715,1.0,141.848,349.4
582,2015-02-02,CATALUNA,3.886,8.977,1.921,2.0,27.97,24.29
585,2015-02-02,COMUNITAT VALENCIANA,8.997,13.129,3.625,2.0,16.982,49.9
586,2015-02-02,EXTREMADURA,6.49,10.05,4.642,1.0,448.521,849.0
593,2015-02-02,REGION DE MURCIA,9.34,14.54,2.522,3.0,3.996,31.4
594,2015-02-03,ANDALUCIA,10.022,12.301,5.072,2.0,277.694,1000.02
599,2015-02-03,CASTILLA-LA MANCHA,5.437,8.565,5.323,3.0,109.232,349.4
600,2015-02-03,CATALUNA,3.836,7.223,3.084,2.0,21.539,24.29
603,2015-02-03,COMUNITAT VALENCIANA,9.882,13.623,5.322,4.0,13.077,49.9
604,2015-02-03,EXTREMADURA,8.54,11.37,6.275,2.0,345.387,849.0
611,2015-02-03,REGION DE MURCIA,11.93,16.83,4.467,4.0,3.077,31.4
612,2015-02-04,ANDALUCIA,6.858,10.312,4.545,4.0,2282.699,1000.02
617,2015-02-04,CASTILLA-LA MANCHA,1.11,4.05,4.725,3.0,897.904,349.4
618,2015-02-04,CATALUNA,1.979,4.596,3.664,1.0,177.051,24.29
621,2015-02-04,COMUNITAT VALENCIANA,5.0,8.514,5.461,2.0,107.496,49.9
622,2015-02-04,EXTREMADURA,5.228,9.034,4.133,4.0,2839.147,849.0
629,2015-02-04,REGION DE MURCIA,7.92,11.52,5.556,4.0,25.293,31.4
630,2015-02-05,ANDALUCIA,5.658,10.198,3.537,5.0,3938.713,1000.02
635,2015-02-05,CASTILLA-LA MANCHA,0.988,4.689,5.131,4.0,1549.3,349.4
636,2015-02-05,CATALUNA,2.692,7.233,5.275,3.0,305.496,24.29
639,2015-02-05,COMUNITAT VALENCIANA,5.469,9.64,6.594,4.0,185.48,49.9
640,2015-02-05,EXTREMADURA,4.972,9.675,3.292,4.0,4898.843,849.0
647,2015-02-05,REGION DE MURCIA,7.48,11.03,6.478,4.0,43.642,31.4
648,2015-02-06,ANDALUCIA,5.577,10.92,2.545,4.0,3619.543,1000.02
653,2015-02-06,CASTILLA-LA MANCHA,0.841,5.105,2.897,3.0,1423.754,349.4
654,2015-02-06,CATALUNA,1.175,6.504,3.319,4.0,280.74,24.29
657,2015-02-06,COMUNITAT VALENCIANA,4.05,8.765,4.314,4.0,170.449,49.9
658,2015-02-06,EXTREMADURA,4.442,9.874,2.425,3.0,4501.869,849.0
665,2015-02-06,REGION DE MURCIA,7.17,12.25,3.422,4.0,40.106,31.4
666,2015-02-07,ANDALUCIA,5.756,9.887,1.7,2.0,1479.494,1000.02
