value,percentage,datetime
705365.625,1,2015-10-23T00:00:00.000+02:00
632451.637,1,2015-10-24T00:00:00.000+02:00
606248.24,1,2015-10-25T00:00:00.000+02:00
698714.377,1,2015-10-26T00:00:00.000+01:00
714045.704,1,2015-10-27T00:00:00.000+01:00
712968.78,1,2015-10-28T00:00:00.000+01:00
713797.41,1,2015-10-29T00:00:00.000+01:00
705347.426,1,2015-10-30T00:00:00.000+01:00
631421.414,1,2015-10-31T00:00:00.000+01:00
577443.778,1,2015-11-01T00:00:00.000+01:00
662810.755,1,2015-11-02T00:00:00.000+01:00
713156.063,1,2015-11-03T00:00:00.000+01:00
717848.047,1,2015-11-04T00:00:00.000+01:00
712966.18,1,2015-11-05T00:00:00.000+01:00
709440.852,1,2015-11-06T00:00:00.000+01:00
631290.114,1,2015-11-07T00:00:00.000+01:00
580730.06,1,2015-11-08T00:00:00.000+01:00
682737.263,1,2015-11-09T00:00:00.000+01:00
708284.438,1,2015-11-10T00:00:00.000+01:00
712159.923,1,2015-11-11T00:00:00.000+01:00
714782.597,1,2015-11-12T00:00:00.000+01:00
714253.807,1,2015-11-13T00:00:00.000+01:00
635005.213,1,2015-11-14T00:00:00.000+01:00
590681.619,1,2015-11-15T00:00:00.000+01:00
710388.594,1,2015-11-16T00:00:00.000+01:00
732321.9,1,2015-11-17T00:00:00.000+01:00
734600.621,1,2015-11-18T00:00:00.000+01:00
729865.477,1,2015-11-19T00:00:00.000+01:00
727648.544,1,2015-11-20T00:00:00.000+01:00
658982.079,1,2015-11-21T00:00:00.000+01:00
621390.199,1,2015-11-22T00:00:00.000+01:00
761047.095,1,2015-11-23T00:00:00.000+01:00
792667.153,1,2015-11-24T00:00:00.000+01:00
786283.895,1,2015-11-25T00:00:00.000+01:00
777027.662,1,2015-11-26T00:00:00.000+01:00
765601.74,1,2015-11-27T00:00:00.000+01:00
688310.998,1,2015-11-28T00:00:00.000+01:00
640782.551,1,2015-11-29T00:00:00.000+01:00
771609.629,1,2015-11-30T00:00:00.000+01:00
790099.773,1,2015-12-01T00:00:00.000+01:00
791699.766,1,2015-12-02T00:00:00.000+01:00
783002.667,1,2015-12-03T00:00:00.000+01:00
771917.122,1,2015-12-04T00:00:00.000+01:00
695778.905,1,2015-12-05T00:00:00.000+01:00
640414.626,1,2015-12-06T00:00:00.000+01:00
677337.078,1,2015-12-07T00:00:00.000+01:00
648186.832,1,2015-12-08T00:00:00.000+01:00
756864.691,1,2015-12-09T00:00:00.000+01:00
773300.04,1,2015-12-10T00:00:00.000+01:00
773033.866,1,2015-12-11T00:00:00.000+01:00
701968.104,1,2015-12-12T00:00:00.000+01:00
657019.376,1,2015-12-13T00:00:00.000+01:00
776425.684,1,2015-12-14T00:00:00.000+01:00
