,comunidad_autonoma,type,month,value
170,Aragón,Ciclo combinado,2015-03-01T00:00:00.000+01:00,1869.67
171,Aragón,Ciclo combinado,2015-04-01T00:00:00.000+02:00,1869.67
172,Aragón,Ciclo combinado,2015-05-01T00:00:00.000+02:00,1869.67
173,Aragón,Ciclo combinado,2015-06-01T00:00:00.000+02:00,1869.67
174,Aragón,Ciclo combinado,2015-07-01T00:00:00.000+02:00,1869.67
175,Aragón,Ciclo combinado,2015-08-01T00:00:00.000+02:00,1869.67
176,Aragón,Ciclo combinado,2015-09-01T00:00:00.000+02:00,1869.67
177,Aragón,Ciclo combinado,2015-10-01T00:00:00.000+02:00,1869.67
178,Aragón,Ciclo combinado,2015-11-01T00:00:00.000+01:00,1869.67
179,Aragón,Ciclo combinado,2015-12-01T00:00:00.000+01:00,1869.67
180,Aragón,Eólica,2015-01-01T00:00:00.000+01:00,1904.82
181,Aragón,Eólica,2015-02-01T00:00:00.000+01:00,1904.82
182,Aragón,Eólica,2015-03-01T00:00:00.000+01:00,1904.82
183,Aragón,Eólica,2015-04-01T00:00:00.000+02:00,1904.82
184,Aragón,Eólica,2015-05-01T00:00:00.000+02:00,1904.82
185,Aragón,Eólica,2015-06-01T00:00:00.000+02:00,1904.82
186,Aragón,Eólica,2015-07-01T00:00:00.000+02:00,1904.82
187,Aragón,Eólica,2015-08-01T00:00:00.000+02:00,1904.82
188,Aragón,Eólica,2015-09-01T00:00:00.000+02:00,1904.82
189,Aragón,Eólica,2015-10-01T00:00:00.000+02:00,1904.82
190,Aragón,Eólica,2015-11-01T00:00:00.000+01:00,1904.82
191,Aragón,Eólica,2015-12-01T00:00:00.000+01:00,1904.82
192,Aragón,Solar fotovoltaica,2015-01-01T00:00:00.000+01:00,168.538
193,Aragón,Solar fotovoltaica,2015-02-01T00:00:00.000+01:00,168.538
194,Aragón,Solar fotovoltaica,2015-03-01T00:00:00.000+01:00,168.541
195,Aragón,Solar fotovoltaica,2015-04-01T00:00:00.000+02:00,168.548
196,Aragón,Solar fotovoltaica,2015-05-01T00:00:00.000+02:00,168.568
197,Aragón,Solar fotovoltaica,2015-06-01T00:00:00.000+02:00,168.568
198,Aragón,Solar fotovoltaica,2015-07-01T00:00:00.000+02:00,168.568
199,Aragón,Solar fotovoltaica,2015-08-01T00:00:00.000+02:00,168.568
200,Aragón,Solar fotovoltaica,2015-09-01T00:00:00.000+02:00,168.568
201,Aragón,Solar fotovoltaica,2015-10-01T00:00:00.000+02:00,168.568
202,Aragón,Solar fotovoltaica,2015-11-01T00:00:00.000+01:00,168.568
203,Aragón,Solar fotovoltaica,2015-12-01T00:00:00.000+01:00,168.568
204,Aragón,Otras renovables,2015-01-01T00:00:00.000+01:00,6.685
205,Aragón,Otras renovables,2015-02-01T00:00:00.000+01:00,6.685
206,Aragón,Otras renovables,2015-03-01T00:00:00.000+01:00,6.685
207,Aragón,Otras renovables,2015-04-01T00:00:00.000+02:00,6.685
208,Aragón,Otras renovables,2015-05-01T00:00:00.000+02:00,6.685
209,Aragón,Otras renovables,2015-06-01T00:00:00.000+02:00,6.685
210,Aragón,Otras renovables,2015-07-01T00:00:00.000+02:00,6.685
211,Aragón,Otras renovables,2015-08-01T00:00:00.000+02:00,6.685
212,Aragón,Otras renovables,2015-09-01T00:00:00.000+02:00,6.685
213,Aragón,Otras renovables,2015-10-01T00:00:00.000+02:00,6.685
214,Aragón,Otras renovables,2015-11-01T00:00:00.000+01:00,6.685
215,Aragón,Otras renovables,2015-12-01T00:00:00.000+01:00,6.685
216,Aragón,Cogeneración,2015-01-01T00:00:00.000+01:00,555.123
217,Aragón,Cogeneración,2015-02-01T00:00:00.000+01:00,555.123
218,Aragón,Cogeneración,2015-03-01T00:00:00.000+01:00,555.123
219,Aragón,Cogeneración,2015-04-01T00:00:00.000+02:00,555.123
220,Aragón,Cogeneración,2015-05-01T00:00:00.000+02:00,555.957
221,Aragón,Cogeneración,2015-06-01T00:00:00.000+02:00,548.307
222,Aragón,Cogeneración,2015-07-01T00:00:00.000+02:00,548.307
223,Aragón,Cogeneración,2015-08-01T00:00:00.000+02:00,529.643
224,Aragón,Cogeneración,2015-09-01T00:00:00.000+02:00,529.643
225,Aragón,Cogeneración,2015-10-01T00:00:00.000+02:00,529.643
226,Aragón,Cogeneración,2015-11-01T00:00:00.000+01:00,529.643
227,Aragón,Cogeneración,2015-12-01T00:00:00.000+01:00,529.643
228,Aragón,Residuos no renovables,2015-01-01T00:00:00.000+01:00,49.9
229,Aragón,Residuos no renovables,2015-02-01T00:00:00.000+01:00,49.9
230,Aragón,Residuos no renovables,2015-03-01T00:00:00.000+01:00,49.9
231,Aragón,Residuos no renovables,2015-04-01T00:00:00.000+02:00,49.9
232,Aragón,Residuos no renovables,2015-05-01T00:00:00.000+02:00,49.9
233,Aragón,Residuos no renovables,2015-06-01T00:00:00.000+02:00,49.9
234,Aragón,Residuos no renovables,2015-07-01T00:00:00.000+02:00,49.9
235,Aragón,Residuos no renovables,2015-08-01T00:00:00.000+02:00,49.9
236,Aragón,Residuos no renovables,2015-09-01T00:00:00.000+02:00,49.9
237,Aragón,Residuos no renovables,2015-10-01T00:00:00.000+02:00,49.9
238,Aragón,Residuos no renovables,2015-11-01T00:00:00.000+01:00,49.9
239,Aragón,Residuos no renovables,2015-12-01T00:00:00.000+01:00,49.9
240,Aragón,Potencia total,2015-01-01T00:00:00.000+01:00,7167.939
241,Aragón,Potencia total,2015-02-01T00:00:00.000+01:00,7167.939
242,Aragón,Potencia total,2015-03-01T00:00:00.000+01:00,7167.941999999999
243,Aragón,Potencia total,2015-04-01T00:00:00.000+02:00,7167.948999999999
244,Aragón,Potencia total,2015-05-01T00:00:00.000+02:00,7168.803
245,Aragón,Potencia total,2015-06-01T00:00:00.000+02:00,7161.152999999999
246,Aragón,Potencia total,2015-07-01T00:00:00.000+02:00,7161.152999999999
247,Aragón,Potencia total,2015-08-01T00:00:00.000+02:00,7142.489
248,Aragón,Potencia total,2015-09-01T00:00:00.000+02:00,7142.489
249,Aragón,Potencia total,2015-10-01T00:00:00.000+02:00,7142.489
250,Aragón,Potencia total,2015-11-01T00:00:00.000+01:00,7142.489
251,Aragón,Potencia total,2015-12-01T00:00:00.000+01:00,7142.489
252,Principado de Asturias,Hidráulica,2015-01-01T00:00:00.000+01:00,804.977
253,Principado de Asturias,Hidráulica,2015-02-01T00:00:00.000+01:00,804.977
254,Principado de Asturias,Hidráulica,2015-03-01T00:00:00.000+01:00,804.977
255,Principado de Asturias,Hidráulica,2015-04-01T00:00:00.000+02:00,804.977
256,Principado de Asturias,Hidráulica,2015-05-01T00:00:00.000+02:00,804.977
257,Principado de Asturias,Hidráulica,2015-06-01T00:00:00.000+02:00,804.977
258,Principado de Asturias,Hidráulica,2015-07-01T00:00:00.000+02:00,804.977
259,Principado de Asturias,Hidráulica,2015-08-01T00:00:00.000+02:00,804.977
260,Principado de Asturias,Hidráulica,2015-09-01T00:00:00.000+02:00,804.977
261,Principado de Asturias,Hidráulica,2015-10-01T00:00:00.000+02:00,804.977
262,Principado de Asturias,Hidráulica,2015-11-01T00:00:00.000+01:00,804.977
263,Principado de Asturias,Hidráulica,2015-12-01T00:00:00.000+01:00,804.977
264,Principado de Asturias,Carbón,2015-01-01T00:00:00.000+01:00,2390.605
265,Principado de Asturias,Carbón,2015-02-01T00:00:00.000+01:00,2390.605
266,Principado de Asturias,Carbón,2015-03-01T00:00:00.000+01:00,2390.605
267,Principado de Asturias,Carbón,2015-04-01T00:00:00.000+02:00,2390.605
268,Principado de Asturias,Carbón,2015-05-01T00:00:00.000+02:00,2390.605
269,Principado de Asturias,Carbón,2015-06-01T00:00:00.000+02:00,2390.605
270,Principado de Asturias,Carbón,2015-07-01T00:00:00.000+02:00,2390.605
271,Principado de Asturias,Carbón,2015-08-01T00:00:00.000+02:00,2390.605
272,Principado de Asturias,Carbón,2015-09-01T00:00:00.000+02:00,2390.605
273,Principado de Asturias,Carbón,2015-10-01T00:00:00.000+02:00,2390.605
274,Principado de Asturias,Carbón,2015-11-01T00:00:00.000+01:00,2390.605
